onset	duration	item	rotation	accuracy	reaction_time	stim_file
10.0227	1	B5	0	0	0.75234	sub-18_stim-commstruc_B5.jpg
16.0601	1	C1	0	0	0.91462	sub-18_stim-commstruc_C1.jpg
18.0993	1	C4	0	0	0.73079	sub-18_stim-commstruc_C4.jpg
22.1375	1	C2	0	0	0.81146	sub-18_stim-commstruc_C2.jpg
26.1758	1	C5	90	0	0.90887	sub-18_stim-commstruc_C5.jpg
28.2149	1	C4	90	0	0.81561	sub-18_stim-commstruc_C4.jpg
30.2541	1	C3	0	0	0.82306	sub-18_stim-commstruc_C3.jpg
34.2924	1	C2	90	0	1.0294	sub-18_stim-commstruc_C2.jpg
38.3306	1	C1	90	0	0.92405	sub-18_stim-commstruc_C1.jpg
40.3698	1	B5	0	0	0.75675	sub-18_stim-commstruc_B5.jpg
44.408	1	B4	90	1	0.93627	sub-18_stim-commstruc_B4.jpg
50.4455	1	B3	0	0	0.71308	sub-18_stim-commstruc_B3.jpg
52.4846	1	B2	0	0	0.8353	sub-18_stim-commstruc_B2.jpg
54.5237	1	B1	0	0	0.75651	sub-18_stim-commstruc_B1.jpg
60.5612	1	A5	0	0	0.80605	sub-18_stim-commstruc_A5.jpg
62.6003	1	A4	0	0	0.94837	sub-18_stim-commstruc_A4.jpg
66.6386	1	A3	0	1	0.8084	sub-18_stim-commstruc_A3.jpg
68.6777	1	A2	0	0	1.0331	sub-18_stim-commstruc_A2.jpg
70.7168	1	A1	0	0	0.83169	sub-18_stim-commstruc_A1.jpg
72.756	1	C5	0	0	0.81662	sub-18_stim-commstruc_C5.jpg
74.7951	1	C3	0	0	0.73214	sub-18_stim-commstruc_C3.jpg
76.8342	1	C2	0	0	0.66179	sub-18_stim-commstruc_C2.jpg
80.8725	1	C1	0	0	0.93296	sub-18_stim-commstruc_C1.jpg
84.9108	1	C3	0	0	0.77645	sub-18_stim-commstruc_C3.jpg
88.9491	1	C2	0	0	0.68934	sub-18_stim-commstruc_C2.jpg
94.9865	1	C1	90	0	0.82008	sub-18_stim-commstruc_C1.jpg
99.0248	1	C4	0	0	0.72458	sub-18_stim-commstruc_C4.jpg
105.0622	1	C3	90	1	0.76177	sub-18_stim-commstruc_C3.jpg
111.0996	1	C4	0	0	0.68369	sub-18_stim-commstruc_C4.jpg
113.1387	1	C5	0	0	0.80458	sub-18_stim-commstruc_C5.jpg
115.1779	1	C4	0	0	0.683	sub-18_stim-commstruc_C4.jpg
117.217	1	C2	0	0	0.7989	sub-18_stim-commstruc_C2.jpg
119.2561	1	C5	0	0	0.68541	sub-18_stim-commstruc_C5.jpg
121.2953	1	C4	0	0	0.60077	sub-18_stim-commstruc_C4.jpg
125.3336	1	C1	90	0	0.82638	sub-18_stim-commstruc_C1.jpg
129.3718	1	C2	0	1	0.94598	sub-18_stim-commstruc_C2.jpg
135.4093	1	C3	0	0	0.94855	sub-18_stim-commstruc_C3.jpg
141.4467	1	C4	0	0	0.74261	sub-18_stim-commstruc_C4.jpg
145.485	1	C5	0	0	0.70688	sub-18_stim-commstruc_C5.jpg
147.5241	1	A1	0	0	0.67597	sub-18_stim-commstruc_A1.jpg
149.5632	1	A2	0	0	0.93895	sub-18_stim-commstruc_A2.jpg
155.6007	1	A3	0	0	0.82368	sub-18_stim-commstruc_A3.jpg
157.6398	1	A4	0	0	0.67865	sub-18_stim-commstruc_A4.jpg
161.6781	1	A5	0	0	0.67941	sub-18_stim-commstruc_A5.jpg
165.7164	1	B1	0	0	0.81772	sub-18_stim-commstruc_B1.jpg
167.7555	1	B2	0	1	1.041	sub-18_stim-commstruc_B2.jpg
173.7929	1	B3	90	0	0.78877	sub-18_stim-commstruc_B3.jpg
175.832	1	B4	0	0	0.79686	sub-18_stim-commstruc_B4.jpg
179.8703	1	B5	0	0	0.68025	sub-18_stim-commstruc_B5.jpg
183.9086	1	C1	90	1	0.68838	sub-18_stim-commstruc_C1.jpg
185.9477	1	C3	0	0	0.76278	sub-18_stim-commstruc_C3.jpg
189.986	1	C5	0	0	0.86854	sub-18_stim-commstruc_C5.jpg
192.0251	1	C3	0	0	0.7235	sub-18_stim-commstruc_C3.jpg
196.0634	1	C4	90	0	1.0294	sub-18_stim-commstruc_C4.jpg
198.1025	1	C2	0	0	0.87902	sub-18_stim-commstruc_C2.jpg
204.14	1	C1	0	0	0.90804	sub-18_stim-commstruc_C1.jpg
208.1783	1	B5	0	0	0.68419	sub-18_stim-commstruc_B5.jpg
